text,label
"Congratulations! You have won a free iPhone. Click to claim now.","spam"
"URGENT: Your bank account has been locked. Verify immediately.","spam"
"Get 70% discount on all electronics today.","spam"
"You are selected for a cash reward. Claim now.","spam"
"Earn ₹5000 daily from home. Join now.","spam"
"Free Netflix subscription for 3 months. Activate now.","spam"
"Limited time offer, act fast to win prizes.","spam"
"Your account needs verification. Click below.","spam"
"Win free tickets to Dubai. Register now.","spam"
"Exclusive deal just for you, don’t miss out.","spam"
"Claim your free Amazon voucher today.","spam"
"You have been selected for a lucky draw.","spam"
"Click here to get instant cashback.","spam"
"Special discount available only today.","spam"
"Get free recharge instantly.","spam"

"Hey, are we still meeting tomorrow?","ham"
"Please send me the notes from class.","ham"
"Let’s catch up this weekend.","ham"
"Meeting is scheduled at 3 PM.","ham"
"Can you call me later?","ham"
"Thanks for your help!","ham"
"I’ll be late today.","ham"
"Please review the document.","ham"
"See you at the event tomorrow.","ham"
"Your order has been shipped.","ham"
"Let me know when you're free.","ham"
"Can we reschedule our meeting?","ham"
"Don’t forget to bring the files.","ham"
"I have shared the report with you.","ham"
"Call me when you reach.","ham"

"Hey, get 50% off pizza today!","spam"
"Your OTP is 482193. Do not share it.","ham"
"You are selected for interview. Confirm availability.","ham"
"Win money instantly. No effort required.","spam"
"Reminder: your subscription expires today.","ham"
"Claim your bonus now before it expires.","spam"
"Your electricity bill is due.","ham"
"Free recharge available. Click now.","spam"
"Discount on medicines available today.","spam"
"Meeting postponed to tomorrow.","ham"
"Your package is out for delivery.","ham"
"Get premium access for free today.","spam"
"Limited seats available. Register now.","spam"
"Your exam schedule is released.","ham"
"Join now and earn unlimited income.","spam"

"Hi, can we meet after class?","ham"
"Win a brand new car. Participate now.","spam"
"Your salary has been credited.","ham"
"Free gift waiting for you. Claim now.","spam"
"Are you coming to the party tonight?","ham"
"Get instant loan approval online.","spam"
"Your password was changed successfully.","ham"
"Exclusive VIP offer just for you.","spam"
"Can you help me with this assignment?","ham"
"Congratulations! You have been selected.","spam"
"Please check your email.","ham"
"Urgent: Verify your account now.","spam"
"Let’s go out for dinner.","ham"
"Your recharge is successful.","ham"
"Claim your reward before midnight.","spam"

"Are you free this evening?","ham"
"Win cashback on every purchase.","spam"
"Your account statement is ready.","ham"
"Limited offer: Buy 1 get 1 free.","spam"
"Call me when you're available.","ham"
"Your subscription has been renewed.","ham"
"Click to activate your free trial.","spam"
"Please confirm your attendance.","ham"
"Earn money by working from home.","spam"
"Your delivery will arrive today.","ham"

"Reminder: Doctor appointment tomorrow.","ham"
"Win big prizes by registering today.","spam"
"Meeting moved to 5 PM.","ham"
"Special deal expires tonight.","spam"
"Your order is confirmed.","ham"
"Get free access to premium content.","spam"
"Let's revise together.","ham"
"Act fast! Offer ending soon.","spam"
"Project discussion at 2 PM.","ham"
"Your results have been declared.","ham"